index,time,code,open,close,high,low,volumn,money,factor,high_limit,low_limit,avg,pre_close,paused,open_interest
,2005-01-04,603214.XSHG,,,,,,,,,,,,,
,2005-01-05,603214.XSHG,,,,,,,,,,,,,
,2005-01-06,603214.XSHG,,,,,,,,,,,,,
,2005-01-07,603214.XSHG,,,,,,,,,,,,,
,2005-01-10,603214.XSHG,,,,,,,,,,,,,
,2005-01-11,603214.XSHG,,,,,,,,,,,,,
,2005-01-12,603214.XSHG,,,,,,,,,,,,,
,2005-01-13,603214.XSHG,,,,,,,,,,,,,
,2005-01-14,603214.XSHG,,,,,,,,,,,,,
,2005-01-17,603214.XSHG,,,,,,,,,,,,,
,2005-01-18,603214.XSHG,,,,,,,,,,,,,
,2005-01-19,603214.XSHG,,,,,,,,,,,,,
,2005-01-20,603214.XSHG,,,,,,,,,,,,,
,2005-01-21,603214.XSHG,,,,,,,,,,,,,
,2005-01-24,603214.XSHG,,,,,,,,,,,,,
,2005-01-25,603214.XSHG,,,,,,,,,,,,,
,2005-01-26,603214.XSHG,,,,,,,,,,,,,
,2005-01-27,603214.XSHG,,,,,,,,,,,,,
,2005-01-28,603214.XSHG,,,,,,,,,,,,,
,2005-01-31,603214.XSHG,,,,,,,,,,,,,
,2005-02-01,603214.XSHG,,,,,,,,,,,,,
,2005-02-02,603214.XSHG,,,,,,,,,,,,,
,2005-02-03,603214.XSHG,,,,,,,,,,,,,
,2005-02-04,603214.XSHG,,,,,,,,,,,,,
,2005-02-16,603214.XSHG,,,,,,,,,,,,,
,2005-02-17,603214.XSHG,,,,,,,,,,,,,
,2005-02-18,603214.XSHG,,,,,,,,,,,,,
,2005-02-21,603214.XSHG,,,,,,,,,,,,,
,2005-02-22,603214.XSHG,,,,,,,,,,,,,
,2005-02-23,603214.XSHG,,,,,,,,,,,,,
,2005-02-24,603214.XSHG,,,,,,,,,,,,,
,2005-02-25,603214.XSHG,,,,,,,,,,,,,
,2005-02-28,603214.XSHG,,,,,,,,,,,,,
,2005-03-01,603214.XSHG,,,,,,,,,,,,,
,2005-03-02,603214.XSHG,,,,,,,,,,,,,
,2005-03-03,603214.XSHG,,,,,,,,,,,,,
,2005-03-04,603214.XSHG,,,,,,,,,,,,,
,2005-03-07,603214.XSHG,,,,,,,,,,,,,
,2005-03-08,603214.XSHG,,,,,,,,,,,,,
,2005-03-09,603214.XSHG,,,,,,,,,,,,,
,2005-03-10,603214.XSHG,,,,,,,,,,,,,
,2005-03-11,603214.XSHG,,,,,,,,,,,,,
,2005-03-14,603214.XSHG,,,,,,,,,,,,,
,2005-03-15,603214.XSHG,,,,,,,,,,,,,
,2005-03-16,603214.XSHG,,,,,,,,,,,,,
,2005-03-17,603214.XSHG,,,,,,,,,,,,,
,2005-03-18,603214.XSHG,,,,,,,,,,,,,
,2005-03-21,603214.XSHG,,,,,,,,,,,,,
,2005-03-22,603214.XSHG,,,,,,,,,,,,,
,2005-03-23,603214.XSHG,,,,,,,,,,,,,
,2005-03-24,603214.XSHG,,,,,,,,,,,,,
,2005-03-25,603214.XSHG,,,,,,,,,,,,,
,2005-03-28,603214.XSHG,,,,,,,,,,,,,
,2005-03-29,603214.XSHG,,,,,,,,,,,,,
,2005-03-30,603214.XSHG,,,,,,,,,,,,,
,2005-03-31,603214.XSHG,,,,,,,,,,,,,
,2005-04-01,603214.XSHG,,,,,,,,,,,,,
,2005-04-04,603214.XSHG,,,,,,,,,,,,,
,2005-04-05,603214.XSHG,,,,,,,,,,,,,
,2005-04-06,603214.XSHG,,,,,,,,,,,,,
,2005-04-07,603214.XSHG,,,,,,,,,,,,,
,2005-04-08,603214.XSHG,,,,,,,,,,,,,
,2005-04-11,603214.XSHG,,,,,,,,,,,,,
,2005-04-12,603214.XSHG,,,,,,,,,,,,,
,2005-04-13,603214.XSHG,,,,,,,,,,,,,
,2005-04-14,603214.XSHG,,,,,,,,,,,,,
,2005-04-15,603214.XSHG,,,,,,,,,,,,,
,2005-04-18,603214.XSHG,,,,,,,,,,,,,
,2005-04-19,603214.XSHG,,,,,,,,,,,,,
,2005-04-20,603214.XSHG,,,,,,,,,,,,,
,2005-04-21,603214.XSHG,,,,,,,,,,,,,
,2005-04-22,603214.XSHG,,,,,,,,,,,,,
,2005-04-25,603214.XSHG,,,,,,,,,,,,,
,2005-04-26,603214.XSHG,,,,,,,,,,,,,
,2005-04-27,603214.XSHG,,,,,,,,,,,,,
,2005-04-28,603214.XSHG,,,,,,,,,,,,,
